identificativo_natante,data_cattura,peso_kg,regione,zona_FAO
289,2022-06-26,40,TOSCANA,37.1.3
188,2022-06-30,50,MARCHE,37.2.1
104,2022-07-01,90,CALABRIA,37.2.2
127,2022-07-03,40,EMILIA ROMAGNA,37.2.1
310,2022-07-04,40,VENETO,37.2.1
48,2022-07-05,40,ABRUZZO,37.2.1
226,2022-07-05,50,MARCHE,37.2.1
234,2022-07-07,50,MARCHE,37.2.1
42,2022-07-10,35,ABRUZZO,37.2.1
55,2022-07-10,50,ABRUZZO,37.2.1
115,2022-07-10,45,EMILIA ROMAGNA,37.2.1
136,2022-07-10,80,FRIULI VENEZIA GIULIA,37.2.1
155,2022-07-10,35,FRIULI VENEZIA GIULIA,37.2.1
160,2022-07-10,40,FRIULI VENEZIA GIULIA,37.2.1
197,2022-07-10,70,MARCHE,37.2.1
201,2022-07-10,40,MARCHE,37.2.1
206,2022-07-10,55,MARCHE,37.2.1
216,2022-07-10,45,MARCHE,37.2.1
220,2022-07-10,50,MARCHE,37.2.1
301,2022-07-10,45,TOSCANA,37.1.3
314,2022-07-10,40,VENETO,37.2.1
316,2022-07-10,80,VENETO,37.2.1
96,2022-07-12,50,CALABRIA,37.2.2
109,2022-07-12,45,CALABRIA,37.2.2
173,2022-07-12,50,LAZIO,37.1.3
113,2022-07-13,40,EMILIA ROMAGNA,37.2.1
142,2022-07-13,30,FRIULI VENEZIA GIULIA,37.2.1
180,2022-07-13,40,LAZIO,37.1.3
203,2022-07-13,35,MARCHE,37.2.1
226,2022-07-13,40,MARCHE,37.2.1
32,2022-07-14,40,ABRUZZO,37.2.1
117,2022-07-14,38,EMILIA ROMAGNA,37.2.1
125,2022-07-14,50,EMILIA ROMAGNA,37.2.1
127,2022-07-14,45,EMILIA ROMAGNA,37.2.1
152,2022-07-14,60,FRIULI VENEZIA GIULIA,37.2.1
157,2022-07-14,75,FRIULI VENEZIA GIULIA,37.2.1
162,2022-07-14,40,LAZIO,37.1.3
189,2022-07-14,44,MARCHE,37.2.1
198,2022-07-14,50,MARCHE,37.2.1
227,2022-07-14,40,MARCHE,37.2.1
244,2022-07-14,35,MARCHE,37.2.1
246,2022-07-14,40,MARCHE,37.2.1
249,2022-07-14,41,MARCHE,37.2.1
262,2022-07-14,40,MARCHE,37.2.1
299,2022-07-14,48,TOSCANA,37.1.3
312,2022-07-14,50,VENETO,37.2.1
321,2022-07-14,45,VENETO,37.2.1
325,2022-07-14,41,VENETO,37.2.1
326,2022-07-14,59,VENETO,37.2.1
10,2022-07-15,70,ABRUZZO,37.2.1
17,2022-07-15,35,ABRUZZO,37.2.1
31,2022-07-15,32,ABRUZZO,37.2.1
54,2022-07-15,50,ABRUZZO,37.2.1
64,2022-07-15,50,ABRUZZO,37.2.1
87,2022-07-15,50,ABRUZZO,37.2.1
98,2022-07-15,90,CALABRIA,37.2.2
106,2022-07-15,90,CALABRIA,37.2.2
110,2022-07-15,50,EMILIA ROMAGNA,37.2.1
132,2022-07-15,45,FRIULI VENEZIA GIULIA,37.2.1
147,2022-07-15,60,FRIULI VENEZIA GIULIA,37.2.1
153,2022-07-15,40,FRIULI VENEZIA GIULIA,37.2.1
155,2022-07-15,40,FRIULI VENEZIA GIULIA,37.2.1
185,2022-07-15,90,LIGURIA,37.1.3
190,2022-07-15,50,MARCHE,37.2.1
192,2022-07-15,100,MARCHE,37.2.1
209,2022-07-15,35,MARCHE,37.2.1
212,2022-07-15,43,MARCHE,37.2.1
219,2022-07-15,50,MARCHE,37.2.1
221,2022-07-15,40,MARCHE,37.2.1
223,2022-07-15,35,MARCHE,37.2.1
224,2022-07-15,55,MARCHE,37.2.1
254,2022-07-15,30,MARCHE,37.2.1
268,2022-07-15,65,MARCHE,37.2.1
269,2022-07-15,40,MARCHE,37.2.1
305,2022-07-15,42,TOSCANA,37.1.3
311,2022-07-15,40,VENETO,37.2.1
3,2022-07-16,30,ABRUZZO,37.2.1
7,2022-07-16,40,ABRUZZO,37.2.1
11,2022-07-16,50,ABRUZZO,37.2.1
26,2022-07-16,30,ABRUZZO,37.2.1
30,2022-07-16,35,ABRUZZO,37.2.1
31,2022-07-16,40,ABRUZZO,37.2.1
35,2022-07-16,40,ABRUZZO,37.2.1
41,2022-07-16,55,ABRUZZO,37.2.1
59,2022-07-16,40,ABRUZZO,37.2.1
92,2022-07-16,50,ABRUZZO,37.2.1
97,2022-07-16,88,CALABRIA,37.2.2
103,2022-07-16,50,CALABRIA,37.2.2
106,2022-07-16,65,CALABRIA,37.2.2
122,2022-07-16,65,EMILIA ROMAGNA,37.2.1
128,2022-07-16,50,EMILIA ROMAGNA,37.2.1
145,2022-07-16,55,FRIULI VENEZIA GIULIA,37.2.1
148,2022-07-16,40,FRIULI VENEZIA GIULIA,37.2.1
158,2022-07-16,35,FRIULI VENEZIA GIULIA,37.2.1
164,2022-07-16,65,LAZIO,37.1.3
165,2022-07-16,50,LAZIO,37.1.3
175,2022-07-16,40,LAZIO,37.1.3
193,2022-07-16,40,MARCHE,37.2.1
204,2022-07-16,80,MARCHE,37.2.1
207,2022-07-16,85,MARCHE,37.2.1
208,2022-07-16,40,MARCHE,37.2.1
242,2022-07-16,50,MARCHE,37.2.1
243,2022-07-16,55,MARCHE,37.2.1
248,2022-07-16,50,MARCHE,37.2.1
260,2022-07-16,47,MARCHE,37.2.1
261,2022-07-16,80,MARCHE,37.2.1
266,2022-07-16,30,MARCHE,37.2.1
272,2022-07-16,40,MOLISE,37.2.1
273,2022-07-16,35,MOLISE,37.2.1
276,2022-07-16,50,PUGLIA,37.2.2
277,2022-07-16,55,PUGLIA,37.2.2
278,2022-07-16,60,PUGLIA,37.2.2
279,2022-07-16,60,PUGLIA,37.2.2
291,2022-07-16,45,TOSCANA,37.2.2
297,2022-07-16,43,TOSCANA,37.1.3
298,2022-07-16,70,TOSCANA,37.1.3
302,2022-07-16,36,TOSCANA,37.1.3
302,2022-07-16,45,TOSCANA,37.1.3
306,2022-07-16,55,TOSCANA,37.1.3
324,2022-07-16,40,VENETO,37.2.1
16,2022-07-17,35,ABRUZZO,37.2.1
28,2022-07-17,35,ABRUZZO,37.2.1
29,2022-07-17,40,ABRUZZO,37.2.1
73,2022-07-17,40,ABRUZZO,37.2.1
80,2022-07-17,35,ABRUZZO,37.2.1
90,2022-07-17,40,ABRUZZO,37.2.1
106,2022-07-17,120,CALABRIA,37.2.2
105,2022-07-17,40,CAMPANIA,37.1.3
183,2022-07-17,97,LIGURIA,37.1.3
238,2022-07-17,60,MARCHE,37.2.1
286,2022-07-17,50,TOSCANA,37.2.2
294,2022-07-17,58,TOSCANA,37.1.3
77,2022-07-18,30,ABRUZZO,37.2.1
172,2022-07-18,50,LAZIO,37.1.3
197,2022-07-18,40,MARCHE,37.2.1
284,2022-07-18,55,SICILIA,37.1.3
130,2022-07-19,70,EMILIA ROMAGNA,37.2.1
151,2022-07-19,60,FRIULI VENEZIA GIULIA,37.2.1
174,2022-07-19,45,LAZIO,37.1.3
177,2022-07-19,60,LAZIO,37.1.3
213,2022-07-19,43,MARCHE,37.2.1
217,2022-07-19,33,MARCHE,37.2.1
225,2022-07-19,70,MARCHE,37.2.1
232,2022-07-19,55,MARCHE,37.2.1
234,2022-07-19,80,MARCHE,37.2.1
235,2022-07-19,40,MARCHE,37.2.1
236,2022-07-19,30,MARCHE,37.2.1
258,2022-07-19,65,MARCHE,37.2.1
293,2022-07-19,65,TOSCANA,37.1.3
17,2022-07-20,40,ABRUZZO,37.2.1
40,2022-07-20,30,ABRUZZO,37.2.1
59,2022-07-20,30,ABRUZZO,37.2.1
75,2022-07-20,40,ABRUZZO,37.2.1
81,2022-07-20,35,ABRUZZO,37.2.1
114,2022-07-20,35,EMILIA ROMAGNA,37.2.1
123,2022-07-20,40,EMILIA ROMAGNA,37.2.1
129,2022-07-20,90,EMILIA ROMAGNA,37.2.1
133,2022-07-20,50,FRIULI VENEZIA GIULIA,37.2.1
139,2022-07-20,40,FRIULI VENEZIA GIULIA,37.2.1
140,2022-07-20,48,FRIULI VENEZIA GIULIA,37.2.1
141,2022-07-20,90,FRIULI VENEZIA GIULIA,37.2.1
158,2022-07-20,40,FRIULI VENEZIA GIULIA,37.2.1
163,2022-07-20,50,LAZIO,37.1.3
178,2022-07-20,45,LAZIO,37.1.3
182,2022-07-20,35,LIGURIA,37.1.3
184,2022-07-20,30,LIGURIA,37.1.3
192,2022-07-20,40,MARCHE,37.2.1
197,2022-07-20,60,MARCHE,37.2.1
200,2022-07-20,60,MARCHE,37.2.1
214,2022-07-20,50,MARCHE,37.2.1
222,2022-07-20,50,MARCHE,37.2.1
224,2022-07-20,40,MARCHE,37.2.1
